record_id,title,language,mobile_category,record_type,citation_url,is_accepted,old_quality_score,new_quality_score,quality_flags,content_length_before,content_length_after,ui_noise_removed,code_before,code_after,quota_before,quota_after,kix_units,has_price,has_code,has_kix_units,has_quota,possible_issue
d1aaeb4816960171c1844ebcd617403251ed546fb12b0caf0b54769c5af8360c,"2,800 kix",en,control_plans,plan,https://te.eg/en/personal/mobile/control/super-kix,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;kix_units_extracted;consumption_rules_extracted;quota_from_consumption_rule_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built,623,420,True,*707*69#,*707*69#,1 MB,,2800,False,True,True,False,
f4a72c427e9ee2e9acba86af6f1c147a036a9f81fbcb02aa58c703789272799c,Super Kix 98,en,control_plans,plan,https://te.eg/en/personal/mobile/control/super-kix,True,0.96,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;kix_units_extracted;consumption_rules_extracted;quota_from_consumption_rule_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built,731,437,True,*707*98#,*707*98#,1 MB,,4200,True,True,True,False,
911e322dfb588547e6092996b3fd43b0487b5e59fc7b2c988c3624a6a04beb37,Super Kix,en,control_plans,plan,https://te.eg/en/personal/mobile/control/super-kix,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;ui_noise_title_replaced;subscription_code_extracted;kix_units_extracted;consumption_rules_extracted;quota_from_consumption_rule_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built,683,420,True,*707*98#,*707*98#,1 MB,,4200,False,True,True,False,
5eb8d18e91d9ec33559d3bc2e47514ca73cc94d9f5304eb83741f0a218457ff1,"4,200 kix",en,control_plans,plan,https://te.eg/en/personal/mobile/control/super-kix,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;kix_units_extracted;consumption_rules_extracted;quota_from_consumption_rule_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built,623,420,True,*707*98#,*707*98#,1 MB,,4200,False,True,True,False,
0b2ac6613190c46d40a31a6b4f2683dd64e0cd0489ed56ff918ecccc4f0e47ca,Super Kix 120,en,control_plans,plan,https://te.eg/en/personal/mobile/control/super-kix,True,0.96,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;kix_units_extracted;consumption_rules_extracted;quota_from_consumption_rule_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built,736,441,True,*707*120#,*707*120#,1 MB,,5500,True,True,True,False,
97720b12c8e71c35379528f1134a6d8c02bbae411878dec8c2cb93e89f1d8e63,Super Kix,en,control_plans,plan,https://te.eg/en/personal/mobile/control/super-kix,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;ui_noise_title_replaced;subscription_code_extracted;kix_units_extracted;consumption_rules_extracted;quota_from_consumption_rule_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built,685,422,True,*707*120#,*707*120#,1 MB,,5500,False,True,True,False,
a42c267a1d7f0738ff0e0679e06f03a56d362d03003517d4cded98756ade3e2e,"5,500 kix",en,control_plans,plan,https://te.eg/en/personal/mobile/control/super-kix,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;kix_units_extracted;consumption_rules_extracted;quota_from_consumption_rule_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built,625,422,True,*707*120#,*707*120#,1 MB,,5500,False,True,True,False,
6ce60268bafdb42cf72db3715f8325696c33bd42fdb435a0990ca34d77f09a38,Super Kix 150,en,control_plans,plan,https://te.eg/en/personal/mobile/control/super-kix,True,0.96,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;kix_units_extracted;consumption_rules_extracted;quota_from_consumption_rule_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built,736,441,True,*707*150#,*707*150#,1 MB,,6500,True,True,True,False,
68bc8cd0d5a78919c9cd542b41168db559556fe7fbe84828b4efa002ef8097ab,Super Kix,en,control_plans,plan,https://te.eg/en/personal/mobile/control/super-kix,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;ui_noise_title_replaced;subscription_code_extracted;kix_units_extracted;consumption_rules_extracted;quota_from_consumption_rule_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built,685,422,True,*707*150#,*707*150#,1 MB,,6500,False,True,True,False,
e8039389cb2ae9456e0ebbc1530eb484582c0dae7e2cc58594e00bbfb9e9753d,"6,500 kix",en,control_plans,plan,https://te.eg/en/personal/mobile/control/super-kix,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;kix_units_extracted;consumption_rules_extracted;quota_from_consumption_rule_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built,625,422,True,*707*150#,*707*150#,1 MB,,6500,False,True,True,False,
